"","old_name","new_name2"
"1","date","date"
"2","year","year"
"3","month","month"
"4","day","day"
"5","dich_pm2_5","dich.pm2_5"
"6","pm2_5","pm2_5"
"7","pm2_5_mdl","pm2_5_mdl"
"8","pres","pres"
"9","temp","temp"
"10","actual_volume","actual_volume"
"11","dich_pm2_5_mdl","dich.pm2_5_mdl"
"12","dich_pres","dich.pres"
"13","dich_temp","dich.temp"
"14","dich_actual_volume","dich.actual_volume"
"15","EDXRF_dich_sulphate","dich.EDXRF.TF.sulphate"
"16","EDXRF_dich_sulphate_mdl","dich.EDXRF.TF.sulphate_mdl"
"17","EDXRF_dich_nitrate","dich.EDXRF.TF.nitrate"
"18","EDXRF_dich_nitrate_mdl","dich.EDXRF.TF.nitrate_mdl"
"19","EDXRF_dich_aluminum_al","dich.EDXRF.TF.aluminum_al"
"20","EDXRF_dich_al_mdl","dich.EDXRF.TF.aluminum_al_mdl"
"21","EDXRF_dich_silicon_si","dich.EDXRF.TF.silicon_si"
"22","EDXRF_dich_si_mdl","dich.EDXRF.TF.silicon_si_mdl"
"23","EDXRF_dich_sulphur_s","dich.EDXRF.TF.sulphur_s"
"24","EDXRF_dich_s_mdl","dich.EDXRF.TF.sulphur_s_mdl"
"25","EDXRF_dich_potassium_k","dich.EDXRF.TF.potassium_k"
"26","EDXRF_dich_k_mdl","dich.EDXRF.TF.potassium_k_mdl"
"27","EDXRF_dich_calcium_ca","dich.EDXRF.TF.calcium_ca"
"28","EDXRF_dich_ca_mdl","dich.EDXRF.TF.calcium_ca_mdl"
"29","EDXRF_dich_titanium_ti","dich.EDXRF.TF.titanium_ti"
"30","EDXRF_dich_ti_mdl","dich.EDXRF.TF.titanium_ti_mdl"
"31","EDXRF_dich_vanadium_v","dich.EDXRF.TF.vanadium_v"
"32","EDXRF_dich_v_mdl","dich.EDXRF.TF.vanadium_v_mdl"
"33","EDXRF_dich_chromium_cr","dich.EDXRF.TF.chromium_cr"
"34","EDXRF_dich_cr_mdl","dich.EDXRF.TF.chromium_cr_mdl"
"35","EDXRF_dich_manganese_mn","dich.EDXRF.TF.manganese_mn"
"36","EDXRF_dich_mn_mdl","dich.EDXRF.TF.manganese_mn_mdl"
"37","EDXRF_dich_iron_fe","dich.EDXRF.TF.iron_fe"
"38","EDXRF_dich_fe_mdl","dich.EDXRF.TF.iron_fe_mdl"
"39","EDXRF_dich_nickel_ni","dich.EDXRF.TF.nickel_ni"
"40","EDXRF_dich_ni_mdl","dich.EDXRF.TF.nickel_ni_mdl"
"41","EDXRF_dich_zinc_zn","dich.EDXRF.TF.zinc_zn"
"42","EDXRF_dich_zn_mdl","dich.EDXRF.TF.zinc_zn_mdl"
"43","EDXRF_dich_selenium_se","dich.EDXRF.TF.selenium_se"
"44","EDXRF_dich_se_mdl","dich.EDXRF.TF.selenium_se_mdl"
"45","EDXRF_dich_bromine_br","dich.EDXRF.TF.bromine_br"
"46","EDXRF_dich_br_mdl","dich.EDXRF.TF.bromine_br_mdl"
"47","EDXRF_dich_rubidium_rb","dich.EDXRF.TF.rubidium_rb"
"48","EDXRF_dich_rb_mdl","dich.EDXRF.TF.rubidium_rb_mdl"
"49","EDXRF_dich_strontium_sr","dich.EDXRF.TF.strontium_sr"
"50","EDXRF_dich_sr_mdl","dich.EDXRF.TF.strontium_sr_mdl"
"51","EDXRF_dich_cadmium_cd","dich.EDXRF.TF.cadmium_cd"
"52","EDXRF_dich_cd_mdl","dich.EDXRF.TF.cadmium_cd_mdl"
"53","EDXRF_dich_tin_sn","dich.EDXRF.TF.tin_sn"
